Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
WO1988009618,16.12.1988,COMPOSITION AND METHOD FOR PREPARING PIZZA DOUGH,"[060,731 10.06.1987 US]",A21D 13/00;A21D 17/00;A23L 1/176,"CANZONERI, Salvatore","CANZONERI, Salvatore",
EP0104742,05.04.1984,LAMINATE CHICAGO-STYLE OR THICK PIZZA CRUST,[41388782 1982-09-01T23:59:59.000Z US],A21D 13/00;A21D 8/00;A21D 13/00,"SCHWAN'S SALES ENTERPRISES, INC.","RICKE, ROY E.",
US5110038,06.05.1992,Plate forming and break down pizza box,,A47G 21/00;A47G 21/00;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,PANTISANO FRANK;DEVINE SCOTT M,Pantisano Frank;Devine Scott M.,
WO2007139285,07.12.2007,MANUFACTURING METHOD FOR RICE PIZZA,"[10-2006-0047937 29.05.2006 KR, 10-2006-0108099 03.11.2006 KR]",A23L 1/10,"LEE, Dae-Gu","LEE, Dae-Gu",
US20070190215,17.08.2007,Method of making a pizza crust,[11354442 2006-02-15T23:59:59.000Z US],A21D 10/00;A21D 10/00,REDDY SAIL K,Reddy Sail Katta,
US5375761,28.12.1994,Pizza box and method of disposing of used pizza boxes,,B65D 5/20;B65D 5/54;B65D 5/54,SULLIVAN; LAURA C.;SULLIVAN; CONSTANCE B.;SULLIVAN; TIMOTHY J.,Sullivan Laura C.;Sullivan Constance B.;Sullivan Timothy J.,
CA1256709,05.07.1989,HEAT TRANSFER DEVICE FOR USE IN COOKING PIZZAS,"[729,521 1985-05-01T23:59:59.000Z US]",A47J 37/01;A47J 27/02,,"BELTZ, JOHN D.",
EP0776605,05.06.1997,"Ready-to-assemble, ready-to-eat packaged pizza",[56384595 1995-11-28T23:59:59.000Z US],A21D 15/00;A21D 13/00;A21D 13/08;A21D 15/02;A21D 13/00;A21D 15/00;A23L 1/48,KRAFT FOODS INC,COCHRAN STUART ALLAN;LIPPINCOTT HOWARD CHARLES;GOLL STEVEN JEFFREY;WINKLER GARY ALEXANDER,
WO2003091120,07.11.2003,PIZZA BOX APPARATUS,"[60/374,687 24.04.2002 US, 10/420,459 22.04.2003 US]",B65D 5/20;B65D 5/42;B65D 5/66;B65D 85/36,"MANNINEN, Michael, W.","MANNINEN, Michael, W.",
WO2007124583,09.11.2007,AN AUTOMATIC PIZZA SHAPING CONVEYOR DEVICE AND METHOD,[095207388 28.04.2006 TW],A21C 11/10;A21B 5/00;A21C 3/02;A21C 9/04,"YEN, Jen-Ho","YEN, Jen-Ho",
CA1077338,14.05.1980,PROCESS FOR MANUFACTURING PIZZA CHEESE,,A23C 19/02;A23C 19/032;A23C 19/068,,"REINBOLD, GEORGE W.;REDDY, MALIREDDY S.",
US5865107,03.02.1999,Apparatus for making a stuffed pizza crust,,A21D 13/00;A21C 9/04;A21C 9/00;A23P 1/00;A21C 9/04;A47J 37/01;A21C 9/06;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,"Crestar Crusts, Inc.",Sanguinetti Paul;Nelson Rick L.;Dungan David M.;Hayward Richard L.,
US20080015736,18.01.2008,Facilitating vending of customer-configured pizza preparation kits,[10751143 2004-01-02T23:59:59.000Z US],G06F 17/00;G06F 17/00;G07F 9/10;G07F 9/10;G07F 11/02;G07F 11/16;G07F 11/24;G07F 11/38;G07F 11/70;G07F 11/70,SIMMONS DAVID ODELL,Simmons David Odell,
WO2002100176,20.12.2002,A PIZZA MAKING METHOD AND SYSTEM,"[60/297,160 08.06.2001 US, 10/040,950 07.01.2002 US, 10/030,287 07.01.2002 US]",A21C 9/04;A21C 9/08;A21C 11/00,"ARTOS, S.A.;TORGHELE, Claudio;MALFATTI, Pierluigi","TORGHELE, Claudio;MALFATTI, Pierluigi",
CA1171913,01.08.1984,MICROWAVE PIZZA MAKER,"[256,889 1981-04-24T23:59:59.000Z US]",H05B 6/80;A47J 36/02;F24C 7/02,,"MARTEL, THOMAS J.;BOWEN, ROBERT F.",
CA2142828,06.01.1995,PIZZA PIE MOLD AND METHOD OF USE,"[08/080,081 1993-06-18T23:59:59.000Z US]",A47J 37/01;A21D 6/00;A21D 8/02;A21D 13/00;B21D 39/02,,"KORDIC, BRANKO",
US20070221029,28.09.2007,Pizza cutting apparatus,,B26D 1/09;B26D 3/24;B26D 5/08;B26D 7/26;B26D 1/01;B26D 1/09;B26D 7/26;B26D 7/26,Quantum Technical Services Inc.,Freudinger Mark J.,
US20020048624,26.04.2002,Pizza preparation and delivery method and unit,[00122736 2000-10-18T23:59:59.000Z EP],A23L 1/00;A23L 1/48;A23L 1/48;A21B 1/00;A21B 1/00;A21D 8/00;A21D 8/00;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/02;B60P 3/025;B60P 3/025;B60P 3/14;B60P 3/14,Nestec S.A.,Blanchet Jean;Cathelin Hervé;Hebert Christian;Nouyrit Olivier,
EP0431583,13.06.1991,DISPOSABLE HOLDER FOR PIZZA SLICE,[6902561U 1989-12-07T23:59:59.000Z BR],A47G 21/00;A47G 21/00,GRUPOUTIL DESENVOLVIMENTO DE PRODUTOS DE UTILIDADE LTDA.,"IRIGOITE, FABIO;SCHMITT MALLMANN, BRENO",
US6290122,19.09.2001,Versatile pizza carton,"[09200684 1998-11-27T23:59:59.000Z US, 09378656 1999-08-20T23:59:59.000Z US, 09394784 1999-09-13T23:59:59.000Z US, 09551245 2000-04-17T23:59:59.000Z US]",B65D 21/032;B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/66;B65D 81/38;B65D 81/38;B65D 85/30;B65D 85/36,CORRELL JOHN D.,"Correll, John D.",
WO2012099969,27.07.2012,IMPROVED AUTOMATED PIZZA PREPARATION AND VENDING SYSTEM,"[61/433,928 18.01.2011 US]",A23P 1/00,"K & G ENTERPRISES, LLC;KHATCHADOURIAN, Puzant;PAPAKHIAN, Daniel;KNELLER, Mikhail;YEUNG, George","KHATCHADOURIAN, Puzant;PAPAKHIAN, Daniel;KNELLER, Mikhail;YEUNG, George",
US5197378,31.03.1993,Pizza screen or pan receiving and holding assembly,,A47B 31/00;A47B 31/00,SCALISE GUY G,Scalise Guy G.,
US20060243782,03.11.2006,Pizza box with seat leveling structure,"[11117664 2005-04-28T23:59:59.000Z US, 11202649 2005-08-12T23:59:59.000Z US]",B65D 5/00;B65D 5/00,DEWOLFE GARY,DeWolfe Gary,
CA2327225,04.06.2001,VENDING APPARATUS FOR DISPENSING HOT PIZZAS,[TO99A001068 1999-12-03T23:59:59.000Z IT],G07F 11/00;A21C 9/08;G07F 9/10;G07F 11/42,TOP VENDING SRL,"GUBBINI, AMULIO;DEMAGGIO, GIOVANNI",
US4384513,25.05.1983,Apparatus for preparing pizza in a baking oven,,A21B 1/40;A21B 1/00;A21B 1/26;A21B 1/42;A21D 8/00;A21D 8/00;F24C 15/16;F24C 15/16,PIERICK RICHARD L,Pierick Richard L.,
US3975552,18.08.1976,Method of baking a pizza using micro-wave energy,,A21D 13/00;A21D 13/00,National Convenience Stores,Stangroom Max,
US5129521,15.07.1992,Disposable holder for pizza slice,[MU6902561 1989-12-07T23:59:59.000Z BR],A47G 21/00;A47G 21/00,GRUPOUTIL desenvolvimento de produtos de utilidada Ltda.,Irigoite Fabio;Mallmann Breno S.,
US20080009963,11.01.2008,Facilitating vending of customer-configured pizza preparation kits,[10751143 2004-01-02T23:59:59.000Z US],G06F 17/00;G06F 17/00;G07F 9/10;G07F 9/10;G07F 11/02;G07F 11/16;G07F 11/24;G07F 11/38;G07F 11/70;G07F 11/70,SIMMONS DAVID ODELL,Simmons David Odell,
US5780082,15.07.1998,"Process for making a food product of the pizza type, in the shape of a pocket",[95010482 1995-09-07T23:59:59.000Z FR],A21D 13/00;A21C 9/00;A21C 9/06;A21D 13/00;A21D 13/00,Alda Services S.A.,Rebeaud Isabelle,
WO1999055210,05.11.1999,OVEN FOR PIZZA,[MU 7800843-3 27.04.1998 BR],A47J 37/06;F24C 3/08,"VOLPI, Lauri","VOLPI, Lauri",
WO2014052402,04.04.2014,PIZZA PIE PREPARATION DEVICE AND RELATED METHODS,"[US 20120926 13/627,525]",A21C 9/04,"EZ TOPPING SYSTEMS, LLC","WEBSTER, Ross;KESTIN, Gary",
CA2189506,30.05.1997,"READY-TO-ASSEMBLE, READY-TO-EAT PACKAGED PIZZA","[563,845 1995-11-28T23:59:59.000Z US]",A21D 13/00;A21D 10/00;A21D 15/00;B65D 81/32,"KRAFT FOODS, INC.","COCHRAN, STUART ALLAN;GOLL, STEVEN JEFFREY;LIPPINCOTT, HOWARD CHARLES;WINKLER, GARY ALEXANDER",
US20060083843,21.04.2006,Doughless pizza and method of making same,[10970179 2004-10-20T23:59:59.000Z US],A23C 19/00;A23C 19/00,SOMMAGGIO LORENZO G,Sommaggio Lorenzo G.,
US7823292,03.11.2010,Cutter for pizza and other foods,,B26B 3/00,CASTIGLIONE ROBERTO;CASTIGLIONE TRAVIS,Castiglione Roberto;Castiglione Travis,
US20020180226,06.12.2002,Pizza peel with rotatable blade,[09871930 2001-06-01T23:59:59.000Z US],A47J 43/28;A21B 3/00;A21B 3/00;A47J 43/00;A47J 43/28,"Remco Technologies, Inc.","Moreth, R. Edward",
US20030209194,14.11.2003,Pizza sauce dispensing devices and methods,"[09525190 2000-03-14T23:59:59.000Z US, 10457876 2003-06-10T23:59:59.000Z US]",B05C 13/02;A21C 9/00;A21C 9/04,"Pizza Hut, Inc.",Amigh Steven;Ortegon Homero,
US5924591,21.07.1999,Annular pizza pan with solid bottom,,B65D 1/24;A21B 3/00;A21B 3/15,CONTOS; NICHOLAS P.,Contos Nicholas P.,
US6206277,28.03.2001,Quality-enhancing pizza carton,"[08731586 1996-10-16T23:59:59.000Z US, 09061302 1998-04-16T23:59:59.000Z US, 09394784 1999-09-13T23:59:59.000Z US]",B65D 5/22;B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL JOHN D.,"Correll, John D.",
WO2001067869,21.09.2001,PIZZA SAUCE DISPENSING DEVICES AND METHODS,"[09/525,190 14.03.2000 US]",A21C 9/04,"PIZZA HUT, INC.","AMIGH, Steven",
US20140196609,18.07.2014,PIZZA OVEN ACCESSORY FOR A BARBECUE,[2011/03655 2011-05-19T23:59:59.000Z ZA],A47J 37/07,Snyman Anton,Snyman Anton,
CA2116319,26.08.1994,A PROCESS FOR THE PRODUCTION OF CHILLED READY-TO-EAT PIZZAS,[MI93 A 000355 1993-02-24T23:59:59.000Z IT],A21D 13/08;A21C 1/00;A21D 15/00;A21D 15/04;A23L 3/01;B65B 31/00;F24C 7/02;H05B 6/80,,"VERONESI, SERGIO;BURIANI, ERNESTO;CALO', GUIDO",
US6591503,16.07.2003,Pizza cutting and eating tool,,B25F 3/00;B25F 1/00;A47G 21/02;B26B 25/00,"Marway Industries, LLC","Voves, Mark A.",
WO2006008772,27.01.2006,IMPROVED PIZZA CONTAINER,[RM2004A000364 19.07.2004 IT],B65D 85/36,"GRUPPO PLURIPACK S.R.L.;BELLEGGIA, Giulia","BELLEGGIA, Giulia",
US20060191921,01.09.2006,Door structure of microwave oven usable as pizza oven,"[1020030093026 2003-12-18T23:59:59.000Z KR, 1020040047096 2004-06-23T23:59:59.000Z KR, 1020040047097 2004-06-23T23:59:59.000Z KR, 1020040047098 2004-06-23T23:59:59.000Z KR]",H05B 6/76;H05B 6/76;H05B 6/80;H05B 6/80,Daewoo Electronics Corporation,Cho Yun Ho;Yang Kyung Hoi,
US5402930,05.04.1995,High quality inexpensive pizza box,[07860482 1992-03-30T23:59:59.000Z US],B65D 5/64;B65D 5/36;B65D 5/36;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/64;B65D 81/34;B65D 81/34;B65D 85/30;B65D 85/36,Jamestown Container Corporation,Storms Brian H.;Spitz David W.;Mikus Walter F.,
WO2015026896,27.02.2015,SYSTEM AND METHOD FOR PRODUCING BREAD OR PIZZA PRODUCTS,"[US 20130823 13/974,256, US 20130823 13/974,270, US 20130823 13/974,283]",A21D 10/00;A21D 13/00;A21B 5/00,ELWHA LLC,"FAHEY-BURKE, Samuel J.;MYHRVOLD, Nathan P.;ZHOU, Huan Larissa;CHAN, Alistair K.",
WO2000000035,07.01.2000,METHOD AND APPARATUS FOR FORMING A PIZZA DOUGH INTO A RIMMED PIZZA SHAPE,[980521 29.06.1998 IE],A21C 11/00,"BILLCREST PRODUCTS LIMITED;DARMON, Jacinta;McGILLICUDDY, Gene","DARMON, Jacinta;McGILLICUDDY, Gene",
EP0294018,08.12.1988,FROZEN GRANULAR CHEESE PRODUCTS FOR BAKED PIZZAS,[3602287 1987-04-08T23:59:59.000Z US],A21D 13/00;A23C 19/068;A23C 19/09;A21D 13/00;A23C 19/097;A21D 13/08;A23C 19/16;A23C 19/086;A23C 19/097,LEPRINO FOODS COMPANY,"KIELSMEIER, LESTER O.;ALLEN, WESLEY J.;BARZ, RICHARD L.",
US6231332,16.05.2001,Pizza rice molding apparatus,[10158448 1998-05-22T23:59:59.000Z JP],A23P 1/10;A23L 1/10;A23L 1/10;A21C 11/00;A21C 11/00;A23L 1/164;A23L 1/164;A23L 1/48;A23L 1/48;A23P 1/10;A23P 1/10,SUZUKI KISAKU,"Suzuki, Kisaku",
US20030003211,03.01.2003,System and method for producing par-baked pizza crusts,"[09539454 2000-03-30T23:59:59.000Z US, 10238157 2002-09-09T23:59:59.000Z US, 60172237 1999-04-13T23:59:59.000Z US]",A23C 3/00;A21B 3/00;A21B 3/13;A21B 7/00;A21B 7/00;A21C 11/00;A21C 11/00;A21D 8/00;A21D 8/00;A21D 13/00;A21D 13/00,"Pizza Hut, Inc.",Kanafani Hanny;EINakib Ossama R.;Hayden Staci L.;Alagna Michael A.;Bauer Jay E.;Hilton James L.,
US4271200,03.06.1981,Method of preparing a frozen pizza,"[6249380 1980-09-17T23:59:59.000Z AU, 356638 1980-07-11T23:59:59.000Z CA, 420726 1983-02-01T23:59:59.000Z CA]",A21D 15/00;A21D 15/02,The Quaker Oats Company,Hempenius Walter L.;Yantis June E.,
CA2255394,30.05.1997,"READY-TO-ASSEMBLE, READY-TO-EAT PACKAGED PIZZA","[563,845 1995-11-28T23:59:59.000Z US]",B65D 1/36;A21D 13/08;B65D 65/02;B65D 77/24,"KRAFT FOODS, INC.","COCHRAN, STUART A.;GOLL, STEVEN J.;LIPPINCOTT, HOWARD C.;WINKLER, GARY A.",
EP0612479,01.09.1994,A process for the production of chilled ready-to-eat pizzas,[MI930355 1993-02-24T23:59:59.000Z IT],A21D 15/04;A23L 3/01;A23L 1/48;A21D 15/04;A23L 3/01;A23L 3/18,BARILLA FLLI G & R,VERONESI SERGIO;BURIANI ERNESTO;CALO' GUIDO,
US4716819,06.01.1988,Heat transfer device for use in cooking pizzas,[06729521 1985-05-01T23:59:59.000Z US],A47J 37/04;A21B 5/00;A21B 5/00;A47J 37/00;A47J 37/00;A47J 43/00;A47J 43/28,"Pizza Hut, Inc.",Beltz John D.,
US20090274807,06.11.2009,MANUFACTURING METHOD FOR RICE PIZZA,"[1020060047937 2006-05-29T23:59:59.000Z KR, 1020060108099 2006-11-03T23:59:59.000Z KR]",A23L 1/10;A23L 1/10,LEE DAE-GU,Lee Dae-Gu,
US5476214,20.12.1995,Pizza box with wedge-shaped break-down spatula-plates,,B65D 5/42;B65D 81/00;B65D 81/36;B65D 85/30;B65D 85/36,"FISK, JR.; JAMES",Fisk James,
US4450334,23.05.1984,Microwave pizza maker,,F24C 7/02;F24C 7/02;A47J 27/00;A47J 27/00;A47J 36/02;A47J 36/02;A47J 37/06;A47J 37/06,Raytheon Company,Bowen Robert F.;Martel Thomas J.,
US5469622,29.11.1995,Pizza cutting scissors,,B26B 11/00;B26B 13/00;B26B 13/22;B26B 25/00;B26B 25/00;B26B 27/00;B26B 27/00,GRADONI; JOHN T.,Gradoni John T.,
CA2652518,07.12.2007,MANUFACTURING METHOD FOR RICE PIZZA,"[10-2006-0047937 2006-05-29T23:59:59.000Z KR, 10-2006-0108099 2006-11-03T23:59:59.000Z KR]",A23L 1/10,"LEE, DAE-GU","LEE, DAE-GU",
US20010024671,28.09.2001,Device for producing pizza,[1997BZ0044 1997-08-19T23:59:59.000Z IT],A21C 1/06;A21C 9/00;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,"Carpos, S.A.","Pilati, Marco;Malfatti, Pierluigi;Torghele, Claudio",
US20040238612,03.12.2004,Quality maintaining pizza/food take-out box,[10448165 2003-05-30T23:59:59.000Z US],B65D 5/42;B65D 25/04;B65D 5/50;B65D 5/50;B65D 85/30;B65D 85/36,,Lehrer Richard M.,
US5176922,06.01.1993,Press for making pizza beds,[2051994 1991-09-20T23:59:59.000Z CA],A21C 11/00;A21C 11/00;B30B 11/02;B30B 11/04;B30B 15/02;B30B 15/02,Barilla G.E.R. F.lli-Societa per Azioni,Balsano Andrea;Schiaretti Enrico,
US20010002674,08.06.2001,Vending apparatus for dispensing hot pizzas,[1999TO1068 1999-12-03T23:59:59.000Z IT],G07F 11/00;G07F 11/70;G07F 11/70;A21C 9/00;A21C 9/08;A23L 1/48;A23L 1/48;G07F 9/10;G07F 9/10;G07F 11/00;G07F 11/00;G07F 11/02;G07F 11/42,Top Vending SrL,"Gubbini, Amulio;Demaggio, Giovanni",
US6083550,05.07.2000,"Ready-to-assemble, ready-to-eat packaged pizza",[08563845 1995-11-28T23:59:59.000Z US],A21D 13/00;A21D 13/08;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;A23L 1/48;A23L 1/48,"Kraft Foods, Inc.",Cochran Stuart A.;Goll Steven J.;Lippincott Howard C.;Winkler Gary A.,
EP1776296,26.04.2007,IMPROVED PIZZA CONTAINER,"[2005000396 2005-07-12T23:59:59.000Z IT, RM20040364 2004-07-19T23:59:59.000Z IT]",B65D 85/36,GRUPPO PLURIPACK S R L,BELLEGGIA GIULIA,
US4378729,06.04.1983,Apparatus for preparing pizza in a baking oven,[06261511 1981-05-07T23:59:59.000Z US],A21B 1/00;A21B 1/26;F24C 15/16;F24C 15/16,PIERICK RICHARD L,Pierick Richard L.,
US5098013,25.03.1992,Single slice pizza carrier,,B65D 5/20;B65D 5/20;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,Arvco Container Corporation,France Stephen L.;Phelps Gregory P.,
US5202138,14.04.1993,"Stable pizza food article, process for preparing same and coating composition used in same",,A21D 13/00;A21D 13/00;A23L 1/00;A23L 1/00,International Flavors & Fragrances Inc.,Stypula Richard J.,
US6626996,01.10.2003,Pizza sauce dispensing devices and methods,[09525190 2000-03-14T23:59:59.000Z US],B05C 11/10;A21C 9/00;A21C 9/04,"Pizza Hut, Inc.","Amigh, Steven;Ortegon, Homero",
EP1107199,14.06.2001,Vending apparatus for dispensing hot pizzas,[TO991068 1999-12-03T23:59:59.000Z IT],G07F 9/10;G07F 11/70;A21C 9/08;A23L 1/48;G07F 11/00;G07F 11/06;G07F 11/42,TOP VENDING INTERNAT S R L,GUBBINI AMULIO;DEMAGGIO GIOVANNI,
US20100266736,22.10.2010,PIZZA AND CRUST HAVING AN IRREGULAR EDGE,,A21D 8/06;A21C 9/00;A21C 9/04;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00;A21D 13/08;A23P 1/08,"Schwan's Food Manufacturing, Inc.",WALTER Shelly;PAFKO Wayne M.;MORAD Mohamed M.,
US20110253773,21.10.2011,INSULATED PIZZA BOX AND METHOD OF MANUFACTURE,,B65D 5/56;B31B 1/16;B31B 7/00,LOZIER James R.,LOZIER James R.,
US20070277681,07.12.2007,Roaster oven for roasting pizza  and other food,,A23B 4/044;A23B 4/044,WANG CHING-HSIANG,Wang Ching-Hsiang,
US4815859,29.03.1989,Roller for making pizza shell,,B29B 1/06;A21C 3/00;A21C 3/02;A21C 11/00;A21C 11/04,WEINKLE STEVEN,Weinkle Steven,
EP2632275,05.09.2013,METHOD AND APPARATUS FOR COOKING PIZZA.,"[2011005359 2011-10-25T23:59:59.000Z EP, AL20100029U 2010-10-29T23:59:59.000Z IT]",A21D 8/00;A21D 13/00;A23B 5/00,GIORDANO GIUSEPPE,GIORDANO GIUSEPPE,
US4020184,27.04.1977,Method of making pizza bread analog,,A21D 13/00;A21D 13/00,CHESNER JACK B,Chesner Jack B.,
CA2148038,25.02.1996,RAW FREEZED PIZZA AND PROCESS FOR ITS PREPARATION,[MI 94 A 001766 1994-08-23T23:59:59.000Z IT],A21D 13/08;A23L 1/10,,"SOLANO, FAUSTO",
US5747084,06.05.1998,"Ready-to-assemble, ready-to-eat packaged pizza",,B65D 85/00;A21D 13/08;A21D 13/00;A21D 13/00;A21D 15/00;A21D 15/00;A23L 1/48;A23L 1/48,"Kraft Foods, Inc.",Cochran Stuart A.;Goll Steven J.;Lippincott Howard C.;Winkler Gary A.,
EP2764779,14.08.2014,Pizza for pet and manufacturing method thereof,[201310047668 2013-02-06T23:59:59.000Z CN],A23K 1/00;A23K 1/18,YANTAI CHINA PET FOODS CO LTD,LI XUE;ZHU FUJUAN;ZHAO CUIPING,
CA1334810,22.03.1995,PIZZA PREPARATION FROM COMMINUTED CHEESE,"[036,022 1987-04-08T23:59:59.000Z US]",A21D 13/00;A23C 19/09;A23C 19/097;A23C 19/16,,"KIELSMEIER, LESTER O.;BARZ, RICHARD L.;ALLEN, WESLEY J.",
EP0937434,26.08.1999,Heat-reserving container for pizza and furnace for the same,[5433198 1998-02-19T23:59:59.000Z JP],A47J 39/02;A47J 39/00;A47J 39/00;A47J 39/02,SATACO CO LTD,AONUMA SABURO,
CA2059026,17.07.1992,SINGLE SLICE PIZZA CARRIER,"[641,199 1991-01-15T23:59:59.000Z US]",B65D 5/20;B65D 5/66;B65D 85/36,ARVCO CONTAINER CORPORATION,"FRANCE, STEPHEN L.;PHELPS, GREGORY P.",
US4360118,24.11.1982,Self-mating pizza pie container,,A45C 11/20;A45C 11/20;B65D 1/34;B65D 1/34,STERN JAMES J,Stern James J.,
US5514402,08.05.1996,Apparatus and method for making pizza,,A21D 8/00;A21B 3/13;A21B 3/00;A21B 3/13;A21D 13/00;A21D 13/00,WILLIAMS; PRESTON N.,Williams Preston N.,
US6048556,12.04.2000,Method for making a stuffed pizza crust,[08897593 1997-07-21T23:59:59.000Z US],A21D 13/00;A21C 9/00;A21C 9/04;A21C 9/06;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,"Crestar Crusts, Inc.",Sanguinetti Paul;Nelson Rick L.;Dungan David M.;Hayward Richard L.,
US6245370,13.06.2001,Method for producing pizza,[97A000044 1997-08-19T23:59:59.000Z IT],A21D 13/00;A21C 9/00;A21C 9/04;A21C 9/08;A21C 11/00;A21C 11/00;A21D 13/00;A21D 13/00,"Carpos, S.A.","Pilati, Marco;Malfatti, Pierluigi;Torghele, Claudio",
US20040011219,23.01.2004,Topping template for handmade pan pizzas,[10200272 2002-07-22T23:59:59.000Z US],A01J 27/02;A47J 43/18;A21B 3/00;A21B 3/15;A21C 9/00;A21C 9/04,,"Sioutis, Nicholas;Sioutis, Anastasi",
EP1908352,10.04.2008,FOOD COMPOSITION WHICH IS USED TO PRODUCE PIZZA DOUGH,"[200501658 2005-07-07T23:59:59.000Z ES, 2006000274 2006-05-23T23:59:59.000Z ES]",A21D 13/00;A21D 10/00,BRISCIANI ROBERTO,BRISCIANI ROBERTO,
US5881948,17.03.1999,Expandable pizza box and method of use,[08731586 1996-10-16T23:59:59.000Z US],B65D 5/22;B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL; JOHN D.,Correll John D.,
CA2514095,13.08.2004,PIZZA AND CRUST HAVING AN IRREGULAR EDGE,"[10/354,896 2003-01-29T23:59:59.000Z US, 10/732,173 2003-12-09T23:59:59.000Z US, 10/758,296 2004-01-15T23:59:59.000Z US]",A21D 13/00;A21C 9/04;A21D 8/02,"SCHWAN'S FOOD MANUFACTURING, INC.","WALTER, SHELLY;PAFKO, WAYNE M.;MORAD, MOHAMED M.",
US20070243292,19.10.2007,Segmented pizza crust system,,A21D 8/00;A21D 13/00,"Pizza Hut, Inc.",Graham Peter G.;Craig Todd W.;Goff Carrie L.,
US20050133502,24.06.2005,Door structure of microwave oven usable as pizza oven,"[1020030093026 2003-12-18T23:59:59.000Z KR, 1020040047096 2004-06-23T23:59:59.000Z KR, 1020040047097 2004-06-23T23:59:59.000Z KR, 1020040047098 2004-06-23T23:59:59.000Z KR]",F27D 11/00;A21B 1/00;F24C 11/00;H05B 6/76;F24C 15/02;F24C 15/16;H05B 6/80,Daewoo Electronics Corporation,Cho Yun Iio;Yang Kyung Hoi,
US20040175477,10.09.2004,Pizza and crust having an irregular edge,"[10354896 2003-01-29T23:59:59.000Z US, 10732173 2003-12-09T23:59:59.000Z US, 10758296 2004-01-15T23:59:59.000Z US]",A21D 10/00;A21C 9/00;A21C 9/04;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00,,Walter Shelly;Pafko Wayne M.;Morad Mohamed M.,
US20100266731,22.10.2010,PIZZA AND CRUST HAVING AN IRREGULAR EDGE,,A21D 13/08;A21C 9/00;A21C 9/04;A21D 8/02;A21D 8/02;A21D 13/00;A21D 13/00;A23L 1/01,"Schwan's Global Supply Chain, Inc.",Walter Shelly;Pafko Wayne M.;Morad Mohamed M.,
EP2189389,27.05.2010,Container for take-away pizza or the like,[MI20080382U 2008-11-19T23:59:59.000Z IT],B65D 51/16;B65D 21/02,MANCA SILVIO,MANCA SILVIO,
WO2004066736,13.08.2004,PIZZA AND CRUST HAVING AN IRREGULAR EDGE,"[10/354,896 29.01.2003 US, 10/732,173 09.12.2003 US, 10/758,296 15.01.2004 US]",A21C 9/04;A21D 8/02;A21D 13/00,"SCHWAN'S FOOD MANUFACTURING, INC.","WALTER, Shelly;PAFKO, Wayne, M.;MORAD, Mohamed, M.",
US6065669,24.05.2000,Slanting-wall pizza box,"[08731586 1996-10-16T23:59:59.000Z US, 09002153 1997-12-31T23:59:59.000Z US]",B65D 5/22;B65D 5/20;B65D 5/20;B65D 5/22;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL; JOHN D.,Correll John D.,
US6851601,09.02.2005,Dual pizza pie container system,[09954970 2001-09-19T23:59:59.000Z US],B65D 5/49;B65D 5/48;B65D 5/49,,Montoya Juan F.,
US20100122930,21.05.2010,Container for take-away pizza or the like,,A45C 11/20;A45C 11/20,Manca Silvio,Manca Silvio,
US20060065704,31.03.2006,Pizza package made of scrap paper,[2020040027455 2004-09-23T23:59:59.000Z KR],B65D 43/08;B65D 5/00;B65D 5/00;B65D 43/08,CHANG JAE-SEOK,Chang Jae-Seok,
US5560944,02.10.1996,Process for the industrial preparation of pizzeria pizzas,[1992MI010000 1992-01-22T23:59:59.000Z IT],A23L 1/105;A21D 8/04;A21D 13/00;A21D 13/00,M. G. Braibanti S.p.A.,Angeli Alessandro D.;Gerardo Dalbon,
WO2012055531,04.05.2012,METHOD AND APPARATUS FOR COOKING PIZZA.,[IT 20101029 AL2010U000029],A21D 8/00;A21D 13/00;A23B 5/00,"GIORDANO, Giuseppe","GIORDANO, Giuseppe",
US20060191920,01.09.2006,Door structure of microwave oven usable as pizza oven,"[1020030093026 2003-12-18T23:59:59.000Z KR, 1020040047096 2004-06-23T23:59:59.000Z KR, 1020040047097 2004-06-23T23:59:59.000Z KR, 1020040047098 2004-06-23T23:59:59.000Z KR]",H05B 6/76;F24C 11/00;F24C 15/02;F24C 15/16;H05B 6/80,Daewoo Electronics Corporation,Cho Yun Ho;Yang Kyung Hoi,
